Index,energy,temp,feelslike,dew,humidity,response
1026,81.6,28,32,24.1,79.23,1
1027,72.9,26.7,29.9,24.9,89.72,1
1028,62.1,25,25,24,94.17,2
1029,55.4,24.9,24.9,23.9,94.18,2
1030,48.5,24,24,23,94.15,2
1031,24.5,25,25,23,88.68,2
1032,28.4,24.7,24.7,23.2,91.13,2
1033,18.4,24.8,24.8,23.1,90.21,2
1034,14.4,24,24,23,94.15,2
1035,16.8,24,24,23.1,94.47,2
1036,14.9,24,24,23.1,94.47,2
1037,16.5,24,24,23,94.15,2
1038,14.7,24,24,22.9,93.51,2
1039,16.8,24,24,23,94.15,2
1040,20.4,23.1,23.1,22.8,98.28,2
1041,86.1,23.2,23.2,22.9,98.28,2
1042,144.4,25,25,24,94.17,2
1043,164.1,26.8,29.7,24,84.79,1
1044,182.6,29.1,33,23.2,70.62,1
1045,186,31,36.6,24,66.36,1
1046,209.1,31.3,35.9,23.1,61.71,2
1047,222,31.8,37.3,23.7,62.43,2
1048,220.7,31.1,36.8,24.2,66.8,2
1049,166.9,28.3,33.9,25.7,85.9,1
1050,155,29.7,36.7,25.8,79.4,1
1051,118.5,26.1,26.1,24.8,92.61,1
1052,96.42,26.8,29.5,23.7,83.39,1
1053,76.41,25.8,25.8,23.2,85.57,2
1054,62.74,25,25,23,88.66,2
1055,36.9,25,25,23,88.66,2
1056,28.6,24.8,24.8,23.2,90.8,2
1057,22.3,24.8,24.8,23.2,90.8,2
1058,20.3,24.1,24.1,23.1,94.13,2
1059,22.6,24.7,24.7,23.1,90.51,2
1060,20.3,24,24,23,94.15,2
1061,22.6,24,24,23,94.15,2
1062,18.9,24,24,22.9,93.51,2
1063,13.3,24,24,23,94.12,2
1064,25.4,24.1,24.1,23.2,94.78,2
1065,85.6,24.7,24.7,23.2,91.12,2
1066,165,25.7,25.7,23.9,89.64,2
1067,181.1,27.1,30.2,24,83.36,1
1068,180.4,29.1,33.7,24.1,74.44,1
1069,171.3,30.3,35.3,23.8,68.2,1
1070,170.2,31,36.4,23.9,65.94,1
1071,148.7,26.8,29.6,23.8,83.54,1
1072,172.9,29.7,36,25.2,76.57,1
1073,164.8,26.8,30.2,25.1,90.2,1
1074,129.1,27.1,30.9,25.2,89.34,1
1075,94,27.1,30.1,23.8,82.26,1
1076,90.8,25.8,25.8,22.7,83.24,2
1077,76.2,25.8,25.8,22.1,80,2
1078,67.6,26,26,23,83.55,2
1079,35.2,25.3,25.3,23.7,91.02,2
1080,27.2,25.7,25.7,23.1,85.26,2
1081,21.9,26,26,23,83.56,2
1082,16.6,26,26,23,83.57,2
1083,18.4,25.2,25.2,22.8,86.57,2
